Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
5,120;77,604;0,377;451,682;0,2077;6,826;0,255;4,574;48,929;28,676;244,052;178,900;0,724;3018,023;14,621;9,553;8,016;10,725;86,829;14,316;0,881;7,313;0,481;5,458;5698488,305;adhesive;3
4,797;150,836;0,532;338,906;0,1718;7,739;1,394;16,613;83,034;67,802;87,207;179,000;0,657;3189,511;11,048;13,299;10,902;13,931;87,009;15,844;0,990;6,399;0,764;4,277;5698488,305;adhesive;3
7,419;149,328;0,574;450,372;0,2637;11,895;1,659;11,926;103,887;45,440;109,456;180,000;0,822;3174,385;14,158;22,837;17,294;18,265;87,374;30,954;1,478;11,262;1,335;5,981;5698488,305;adhesive;3
4,801;67,655;0,219;295,286;0,1014;6,127;0,254;3,562;48,508;19,147;233,101;179,800;0,488;2510,768;14,908;7,600;5,557;10,424;89,414;12,936;0,644;7,332;0,377;5,425;5698488,305;adhesive;3
5,761;90,935;0,318;695,844;0,4928;7,688;0,572;4,631;49,393;41,542;85,806;178,800;1,149;3816,016;16,062;11,518;7,762;14,149;89,758;18,096;0,808;9,260;0,573;6,022;5698488,305;adhesive;3
6,769;108,688;0,819;886,321;0,7952;8,786;0,683;4,475;61,214;47,474;55,137;0,000;1,504;4410,861;20,892;12,982;5,836;11,817;91,634;20,694;0,750;10,821;0,649;7,488;5698488,305;adhesive;3
4,766;79,149;0,529;381,482;0,1533;6,507;0,805;7,717;53,777;25,372;172,303;178,900;0,614;2736,078;13,810;9,113;7,177;11,523;88,821;12,954;0,756;6,980;0,470;5,005;5698488,305;adhesive;3
4,665;118,439;0,668;357,894;0,1732;6,318;1,217;10,957;79,351;39,088;105,016;97,200;0,650;3607,767;13,401;9,109;5,551;13,364;89,810;13,725;0,630;7,353;0,464;4,931;5698488,305;adhesive;3
8,415;123,802;0,353;624,531;0,4565;11,559;1,245;6,242;78,706;45,096;63,685;57,800;1,098;3232,251;20,566;20,503;8,388;17,576;88,857;30,977;1,019;14,085;1,071;8,309;5698488,305;adhesive;3
8,245;134,232;0,545;530,303;0,2857;11,817;1,731;9,213;101,689;32,542;91,600;90,000;0,858;2542,428;21,618;24,111;8,054;14,388;90,547;31,980;0,936;13,566;1,258;8,117;5698488,305;adhesive;3
5,164;99,525;0,416;442,539;0,2333;6,924;1,057;7,269;69,572;29,953;266,276;179,100;0,766;3864,560;14,521;10,488;5,861;14,632;90,743;15,999;0,656;8,424;0,525;5,347;5698488,305;adhesive;3
5,889;100,679;0,343;363,428;0,1413;8,537;1,829;10,006;73,502;27,178;134,535;179,100;0,585;2498,632;14,236;16,886;6,371;16,392;90,609;23,215;0,677;9,544;0,938;5,536;5698488,305;adhesive;3
7,459;146,344;0,130;387,495;0,1802;11,400;2,523;14,715;116,938;29,406;179,578;0,000;0,664;3114,584;14,773;24,661;8,368;19,515;90,618;31,563;0,787;13,569;1,254;6,462;5698488,305;adhesive;3
7,276;202,058;0,374;405,621;0,1742;11,340;2,970;19,565;158,292;43,766;169,697;179,000;0,655;2748,742;14,047;25,108;6,535;19,488;90,224;30,823;0,696;13,452;1,299;6,243;5698488,305;adhesive;3
9,933;191,816;0,678;359,129;0,1653;15,986;2,762;16,415;151,776;40,040;185,675;109,500;0,634;2770,903;23,190;41,507;9,662;12,682;86,804;44,821;1,140;14,610;2,211;9,264;5698488,305;adhesive;3
4,838;93,668;0,258;287,072;0,1022;6,508;0,736;8,428;69,848;23,820;209,219;0,000;0,499;3320,546;13,925;7,784;7,301;11,937;87,632;11,899;0,834;7,078;0,397;5,070;5698488,305;adhesive;3
