Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,821;70,630;0,074;516,394;0,3003;6,190;-0,239;3,647;34,900;35,729;52,608;176,400;0,874;4554,208;14,837;5,790;7,572;9,548;88,262;11,310;0,812;6,975;0,291;5,347;5698488,305;abrasive;1
5,224;74,077;0,092;565,833;0,3463;6,735;-0,081;3,818;38,530;35,548;52,038;176,700;0,952;4391,690;16,211;7,177;7,789;10,055;89,301;13,105;0,832;7,720;0,359;5,734;5698488,305;abrasive;1
5,631;111,099;0,056;575,918;0,3541;7,197;-0,107;3,723;42,898;68,201;48,066;176,100;0,960;4239,901;17,381;6,920;7,686;10,370;88,700;13,486;0,850;8,435;0,345;6,385;5698488,305;abrasive;1
5,473;86,791;0,050;593,932;0,3809;7,048;-0,153;3,930;44,343;42,448;48,006;176,800;1,003;4337,869;17,095;7,164;8,436;9,495;89,386;13,316;0,874;7,991;0,359;6,050;5698488,305;abrasive;1
5,391;95,672;0,054;614,161;0,4095;7,085;-0,116;4,487;50,538;45,134;48,975;175,700;1,039;4612,075;16,016;7,725;9,083;11,248;88,891;13,717;0,916;7,996;0,383;5,792;5698488,305;abrasive;1
5,362;77,766;0,042;624,700;0,4208;7,028;-0,005;4,105;35,891;41,876;44,881;175,900;1,059;4411,389;15,968;8,285;8,626;11,464;89,318;14,416;0,872;8,048;0,412;5,739;5698488,305;abrasive;1
5,668;90,487;0,042;612,943;0,3932;7,388;0,035;4,029;44,718;45,769;43,950;175,600;1,024;4194,346;17,007;8,714;8,413;11,730;89,528;15,300;0,866;8,722;0,429;6,174;5698488,305;abrasive;1
6,024;131,793;0,058;637,400;0,4566;7,983;0,557;6,589;90,964;40,829;47,428;175,700;1,108;4638,458;18,174;10,436;8,047;11,440;89,908;16,576;0,860;9,220;0,523;6,547;5698488,305;abrasive;1
4,336;74,072;0,207;555,076;0,3642;5,734;-0,047;4,440;34,762;39,310;95,055;178,400;0,969;5214,835;12,617;6,669;7,245;12,443;89,129;11,727;0,719;6,613;0,328;4,613;5698488,305;abrasive;1
4,800;68,930;0,253;567,177;0,3681;6,276;-0,016;3,897;32,291;36,639;134,715;178,200;0,982;4933,594;14,252;7,501;7,573;11,183;88,694;12,990;0,785;7,190;0,371;5,185;5698488,305;abrasive;1
4,587;76,581;0,084;531,878;0,3086;5,959;-0,062;3,976;41,334;35,247;52,595;178,600;0,889;4469,431;13,933;6,607;7,122;10,711;89,139;11,811;0,743;6,821;0,329;4,982;5698488,305;abrasive;1
4,730;88,802;0,063;568,872;0,3802;6,160;-0,104;4,021;46,892;41,910;38,238;178,100;0,998;4703,183;14,302;6,629;7,611;10,863;89,117;11,990;0,774;7,045;0,330;5,148;5698488,305;abrasive;1
4,547;80,503;0,086;552,928;0,3492;5,949;-0,075;4,356;35,508;44,995;31,844;177,000;0,953;4489,482;13,825;6,827;7,250;10,010;88,911;11,551;0,747;6,611;0,341;4,945;5698488,305;abrasive;1
4,825;75,317;0,075;582,809;0,3922;6,314;-0,069;4,258;37,473;37,844;41,101;175,900;1,019;4721,300;14,526;7,038;7,700;11,021;89,151;12,457;0,789;7,184;0,351;5,215;5698488,305;abrasive;1
4,809;74,860;0,095;632,494;0,4619;6,281;0,015;4,152;35,776;39,084;46,660;177,600;1,109;5209,910;14,382;7,100;7,352;11,731;89,150;12,557;0,773;7,329;0,349;5,183;5698488,305;abrasive;1
5,177;88,126;0,093;620,829;0,4391;6,711;-0,034;3,840;37,233;50,893;48,371;0,000;1,082;4896,482;15,699;7,456;7,707;11,048;89,020;13,394;0,832;7,787;0,369;5,617;5698488,305;abrasive;1
4,164;72,825;0,270;492,561;0,3161;5,469;0,001;4,401;38,501;34,324;155,668;178,700;0,894;5448,587;12,340;6,369;6,664;11,846;89,371;11,134;0,674;6,304;0,316;4,454;5698488,305;abrasive;1
4,664;74,000;0,354;551,668;0,3960;6,140;0,078;4,420;35,817;38,184;187,331;178,500;1,016;5488,513;14,052;7,634;7,340;10,886;89,419;12,507;0,745;6,973;0,381;5,007;5698488,305;abrasive;1
4,132;69,984;0,184;546,674;0,3898;5,519;-0,113;4,656;33,368;36,616;107,119;178,600;1,006;5522,283;11,832;6,555;7,424;11,833;88,275;10,929;0,735;6,111;0,326;4,361;5698488,305;abrasive;1
4,128;71,025;0,096;545,816;0,3551;5,465;-0,182;4,679;36,546;34,479;37,258;178,700;0,956;5018,019;12,177;6,030;7,279;11,467;89,003;10,641;0,714;6,128;0,300;4,393;5698488,305;abrasive;1
4,103;75,150;0,096;506,775;0,2876;5,387;-0,113;4,330;33,206;41,944;34,961;0,000;0,855;4255,554;12,200;6,079;6,719;11,001;88,584;10,577;0,689;6,083;0,302;4,438;5698488,305;abrasive;1
4,369;78,848;0,096;615,733;0,4348;5,759;-0,219;4,583;35,324;43,523;37,646;0,000;1,075;5016,612;13,008;6,270;7,520;10,995;88,814;11,107;0,752;6,458;0,311;4,692;5698488,305;abrasive;1
4,517;99,556;0,112;608,653;0,4317;5,943;-0,293;4,566;43,504;56,052;49,372;176,800;1,074;5142,370;13,331;6,359;7,759;9,995;87,539;11,096;0,796;6,434;0,318;4,936;5698488,305;abrasive;1
5,007;90,745;0,167;670,689;0,5227;6,592;-0,188;4,655;41,323;49,422;81,151;175,200;1,192;5311,572;15,000;7,224;8,561;11,009;89,231;12,748;0,847;7,418;0,359;5,373;5698488,305;abrasive;1
4,043;68,563;0,136;544,304;0,3520;5,287;-0,047;4,003;31,790;36,774;56,340;176,900;0,949;5321,422;11,822;5,979;6,261;12,025;88,204;10,543;0,659;6,176;0,291;4,417;5698488,305;abrasive;1
4,812;86,630;0,182;581,377;0,4246;6,311;0,018;4,206;38,927;47,703;96,861;178,600;1,064;5470,045;14,212;7,490;7,435;12,166;89,320;13,040;0,759;7,431;0,364;5,183;5698488,305;abrasive;1
4,357;81,928;0,116;570,880;0,3999;5,755;-0,062;4,452;40,606;41,322;57,584;178,800;1,029;5313,683;12,487;6,737;6,956;12,325;87,814;11,674;0,729;6,596;0,332;4,716;5698488,305;abrasive;1
4,582;87,272;0,123;549,453;0,3500;6,104;-0,121;4,710;45,938;41,334;83,465;179,300;0,959;4743,461;13,046;7,137;7,812;12,082;87,677;12,086;0,798;6,853;0,352;4,920;5698488,305;abrasive;1
4,885;91,899;0,066;564,206;0,3669;6,503;-0,401;4,736;42,533;49,366;91,063;179,200;0,985;4659,388;14,109;6,652;9,310;11,710;88,156;12,221;0,908;7,224;0,324;5,199;5698488,305;abrasive;1
4,752;71,683;0,067;540,799;0,3359;6,290;-0,416;4,654;30,354;41,329;91,887;0,000;0,938;4474,180;14,113;6,413;8,942;10,166;88,388;11,517;0,869;6,798;0,321;5,108;5698488,305;abrasive;1
4,924;79,404;0,062;592,137;0,3802;6,561;-0,519;4,953;36,065;43,339;84,868;0,000;1,002;4744,868;14,408;6,508;9,585;10,452;87,960;11,871;0,931;7,044;0,324;5,268;5698488,305;abrasive;1
5,215;86,850;0,170;602,414;0,3986;6,753;-0,213;4,246;40,669;46,181;103,928;0,000;1,033;4551,922;16,165;6,746;8,136;9,629;89,149;12,407;0,839;7,612;0,338;5,788;5698488,305;abrasive;1
4,010;79,896;0,132;529,618;0,3178;5,280;-0,088;4,489;42,317;37,579;46,924;172,000;0,890;5102,620;11,899;6,034;6,647;10,687;88,390;10,281;0,683;5,847;0,302;4,330;5698488,305;abrasive;1
4,555;85,495;0,484;520,189;0,3127;5,974;-0,080;4,531;37,313;48,182;240,104;178,300;0,895;4828,062;13,566;6,841;7,470;12,249;90,144;12,246;0,723;7,020;0,333;4,847;5698488,305;abrasive;1
4,315;85,337;0,105;558,827;0,3809;5,795;-0,224;4,955;43,068;42,269;50,293;176,900;0,999;5255,640;12,182;6,706;8,062;10,934;86,925;10,941;0,812;6,129;0,336;4,596;5698488,305;abrasive;1
4,670;77,580;0,142;557,305;0,3653;6,184;-0,263;4,484;37,564;40,016;97,832;177,000;0,980;4805,197;13,215;6,653;8,210;10,629;85,857;11,197;0,871;6,613;0,332;5,093;5698488,305;abrasive;1
4,920;82,105;0,094;562,807;0,3727;6,479;-0,494;4,247;41,981;40,124;75,320;178,100;0,995;4668,886;13,691;6,233;9,246;9,728;84,639;11,058;0,973;6,679;0,312;5,429;5698488,305;abrasive;1
4,839;85,321;0,062;573,264;0,3834;6,357;-0,333;4,256;45,207;40,114;63,410;175,900;1,013;4705,998;13,634;6,348;8,359;10,173;84,945;11,102;0,898;6,747;0,317;5,403;5698488,305;abrasive;1
5,178;77,583;0,078;534,613;0,3086;6,845;-0,445;4,401;34,915;42,668;107,016;0,000;0,898;4108,338;14,708;6,880;9,366;10,141;85,571;12,309;1,000;7,201;0,344;5,653;5698488,305;abrasive;1
5,164;81,056;0,201;536,174;0,3138;6,741;-0,268;4,242;38,099;42,957;169,150;180,000;0,902;4292,314;15,578;7,037;8,559;9,595;87,859;12,482;0,900;7,362;0,353;5,653;5698488,305;abrasive;1
4,493;72,356;0,228;518,877;0,3222;5,897;-0,129;4,197;35,260;37,096;149,409;176,200;0,909;4860,074;13,309;6,659;7,407;10,652;88,097;11,438;0,769;6,552;0,333;4,870;5698488,305;abrasive;1
4,681;73,977;0,436;564,468;0,3810;6,034;-0,125;3,945;33,011;40,966;239,856;175,500;1,004;5104,379;14,477;6,145;6,998;10,431;89,449;11,564;0,735;6,994;0,306;5,171;5698488,305;abrasive;1
4,612;77,911;0,095;545,237;0,3421;5,989;-0,203;4,043;37,184;40,727;73,076;174,800;0,946;4685,947;14,072;6,124;7,488;10,351;89,025;11,393;0,763;6,810;0,305;5,055;5698488,305;abrasive;1
4,787;81,189;0,158;538,390;0,3286;6,243;-0,134;4,118;41,848;39,341;99,669;173,600;0,928;4484,382;14,444;6,749;7,714;10,472;88,629;11,972;0,800;7,041;0,336;5,211;5698488,305;abrasive;1
4,791;69,175;0,067;559,641;0,3801;6,280;-0,136;4,159;31,699;37,475;41,550;176,400;1,005;4741,702;14,189;7,144;7,736;10,533;87,998;12,344;0,804;6,979;0,357;5,242;5698488,305;abrasive;1
4,972;91,210;0,094;586,059;0,4019;6,570;-0,061;4,447;38,860;52,349;46,025;176,200;1,039;4695,093;14,505;7,860;8,016;11,250;88,015;13,318;0,830;7,360;0,392;5,388;5698488,305;abrasive;1
5,169;104,219;0,082;548,399;0,3255;6,737;-0,116;4,479;65,292;38,927;51,778;177,600;0,924;3982,404;15,812;7,052;8,260;9,770;88,662;12,433;0,865;7,476;0,353;5,657;5698488,305;abrasive;1
5,130;78,059;0,120;531,917;0,3051;6,573;-0,060;3,588;36,842;41,217;100,896;177,900;0,893;3981,173;15,712;6,842;7,031;10,563;88,552;12,846;0,783;7,704;0,340;5,765;5698488,305;abrasive;1
